frame,255,R,G,B,0
0,290880.0,0.001412953795379538,0.0031662541254125413,0.012150485881921526,0.0
1,290880.0,0.00013636780344701137,0.0018656032269893656,0.000322011367803447,290880.0
2,290880.0,0.0001352218555188852,0.0,0.000322011367803447,290880.0
3,290880.0,0.0,0.0,0.0,290880.0
4,9419.0,0.0,0.0,0.0,290880.0
5,9423.0,0.0,0.0,0.0,290880.0
6,12055.0,0.0,0.0,0.0,290880.0
7,12785.0,0.0,0.0,0.0,290880.0
8,5200.0,0.0,0.0,0.0,290880.0
9,4926.0,0.0,0.0,0.0,290880.0
10,5807.0,0.0,0.0,0.0,290880.0
11,8101.0,0.0,0.0,0.0,290880.0
12,8185.0,0.0,0.0,0.0,290880.0
13,8115.0,0.0,0.0,0.0,290880.0
14,7819.0,0.0,0.0,0.0,290880.0
15,4808.0,64.5960315823249,61.83695338283828,68.94086335716905,281461.0
16,4935.0,64.60984942244224,61.838598964063074,68.95436262376238,281457.0
17,4098.0,64.60294852401907,61.83626123028969,68.94713283828384,278825.0
18,2962.0,64.535666483315,61.83237761276128,68.90581912357902,278095.0
19,2894.0,64.532892143381,61.83206935276861,68.90448638613861,285680.0
20,2911.0,64.5834788687202,61.837221534653466,68.9365958470847,285954.0
21,3146.0,64.54931243124312,61.839972955628895,68.90463879721305,285073.0
22,3053.0,64.55898423175651,61.84067771360469,68.91150875504218,282779.0
23,2834.0,64.51312454162083,61.83547281811514,68.89417514668133,282695.0
24,3001.0,64.53613746791346,61.83314081408141,68.9245152640264,282765.0
25,3008.0,64.49790406123945,61.83288870553722,68.88531811514484,283061.0
26,3140.0,64.5001993949395,61.828491703337,68.89326182618262,286072.0
27,3076.0,64.4910604602127,61.830419187752106,68.88343532269894,285945.0
28,2897.0,64.48098299413275,61.82947492665933,68.87706499816649,286782.0
29,2806.0,64.47038412174551,61.830649523285665,68.86863311331133,287918.0
30,2833.0,64.49856068940227,61.824747891455814,68.88079964246424,287986.0
31,2647.0,64.48623831133114,61.824878529519616,68.87194604877155,287969.0
32,2611.0,64.50327626512652,61.840315594059405,68.88415039420609,287734.0
33,2659.0,64.47994361936193,61.837661578657865,68.86434841400806,287827.0
34,2574.0,64.50048817381739,61.82908301246791,68.89001650165017,288046.0
35,2527.0,64.54470113678035,61.83106321048771,68.92389416024936,287879.0
36,2730.0,64.52831408140814,61.8336988907224,68.90995484965163,287872.0
37,273515.0,64.53379171250458,61.83428332416575,68.91504056655666,287740.0
38,273512.0,64.50385382288229,61.840035982764945,68.89240351118445,287804.0
39,273696.0,64.49376489732306,61.8415417583425,68.88953520352035,287983.0
40,273668.0,64.50298863219655,61.843001696002936,68.89503002383572,288074.0
41,273512.0,64.5015115053172,61.84252154382105,68.89242070040338,288047.0
42,272224.0,64.47277227722772,61.83273400256692,68.89681311881188,288233.0
43,268218.0,64.46561354052072,61.83339063072974,68.88906765676568,288269.0
44,256674.0,64.47510657315732,61.82751764759809,68.89036143197653,288221.0
45,251809.0,64.49050352951961,61.834377291895855,68.8857925375871,288306.0
46,242486.0,64.49235423542355,61.83337458745875,68.88870553722039,288353.0
47,42665.0,64.48450792995966,61.83091538320499,68.87533690869087,288150.0
48,35859.0,64.48537885038503,61.83065181518152,68.8760714613128,17365.0
49,44333.0,64.48442656765677,61.83083287495416,68.87603135313532,17368.0
50,46681.0,64.46838902640265,61.823370462046206,68.87764140997433,17184.0
51,46026.0,61.547588925559225,73.94771497983132,73.93594036486982,17212.0
52,54603.0,61.55373120645398,73.94855610561056,73.93925673817381,17368.0
53,59057.0,61.57082416574991,73.94958631279795,73.9512101210121,18656.0
54,69105.0,61.5706488357169,73.94774362852952,73.94994614044738,22662.0
55,75691.0,61.50441304547121,73.90759419691969,73.90191144114411,34206.0
56,82931.0,61.474525577557756,73.8963742207554,73.87226118445177,39071.0
57,83772.0,61.42999633296663,73.8828474514118,73.8678905390539,48394.0
58,89866.0,61.42371883021635,73.88167973047305,73.86406307297396,248215.0
59,88298.0,61.265241107444076,73.7262101210121,73.70813966813348,255021.0
60,88066.0,61.251879354602124,73.725574119912,73.70133732123212,246547.0
61,87862.0,61.25189539787312,73.72577695269527,73.69894801980197,244199.0
62,86258.0,61.40327282728273,73.85327282728272,73.87228524935827,244854.0
63,85940.0,60.898299413274664,73.38530550971764,73.48428676200953,236277.0
64,83052.0,60.56751008434177,72.96646956362302,73.06355656398974,231823.0
65,81249.0,60.22746607994133,72.54432641180784,72.62953795379538,221775.0
66,77954.0,59.054473780711405,71.31645008250825,71.35748533186651,215189.0
67,69739.0,58.4693653740374,70.55920081591492,70.5439700220022,207949.0
68,52895.0,57.950491611661164,70.22835075174184,70.3715529886322,207108.0
69,48526.0,57.314748349834986,69.86605129262927,70.24375687568757,201014.0
70,45820.0,56.85373579024569,69.63375848001466,70.35413458012468,202582.0
71,56052.0,56.763194444444444,69.62367413824715,70.45224262009535,202814.0
72,54903.0,56.843433718371834,69.98476806013934,70.87437545837918,203018.0
73,58820.0,56.196360469380274,69.55376329299597,70.40135336450312,204622.0
74,58216.0,56.198419737807114,69.55402686101944,70.40287289145581,204940.0
75,57009.0,56.00300238357169,69.32564746057939,70.15686881188118,207828.0
76,60824.0,56.00631073524019,69.32497249724973,70.16025050421709,209631.0
77,60129.0,56.279333975064176,69.54336839933994,70.336925880088,212926.0
78,59905.0,56.27997112211221,69.54384511367803,70.33645604143747,221141.0
79,58544.0,56.40060849834983,69.6968463513018,70.44575426292629,237985.0
80,184857.0,56.40300811331133,69.69543225155849,70.44871424642464,242354.0
81,183930.0,56.46745393289329,69.76402067290063,70.51231779427943,245060.0
82,184429.0,56.60126168866887,69.87553630363037,70.60878483681701,234828.0
83,184333.0,56.49250550055005,69.70538939310597,70.48817152548588,235977.0
84,181916.0,56.493123166483315,69.70544554455445,70.48842248808214,232060.0
85,174776.0,56.454015401540154,69.56537059955996,70.350717363403,232664.0
86,156881.0,56.446487669600295,69.56376856435644,70.34794760726072,233871.0
87,137560.0,56.360514072240555,69.32578497433077,70.20492299229923,230056.0
88,127154.0,56.35919394022736,69.325717363403,70.2041437477081,230751.0
89,117144.0,56.359852860286026,69.32594426109277,70.20437866703337,230975.0
90,3494.0,56.409617940960764,69.24401815181518,70.09213765126513,232336.0
91,3463.0,56.63475889255592,69.44477562339567,70.28088100476714,106023.0
92,3513.0,56.63446209204254,69.4444341309131,70.28082485331866,106950.0
93,3215.0,56.63510153098643,69.44104212504584,70.28021177117712,106451.0
94,2895.0,58.663624174917494,70.72171685918592,72.75771566740008,106547.0
95,2703.0,58.68657407407407,70.72223253575358,72.76710212687935,108964.0
96,13637.0,58.678788503850384,70.71968623945727,72.76072492665934,116104.0
97,12206.0,58.64979831316465,70.71502910707737,72.7631520443711,133999.0
98,13465.0,58.57414512284562,70.71119476530987,72.74785020168683,153320.0
99,24910.0,58.59354372937294,70.71231894022736,72.76841882104877,163726.0
100,24246.0,58.61564333516685,70.71166231206453,72.74263040887422,173736.0
101,27285.0,58.64179157499083,70.7095789787312,72.74208608360836,287386.0
102,26703.0,58.61968967730106,70.70516364136414,72.71258021635497,287417.0
103,28761.0,58.646822286395306,70.70806632746608,72.73653052805281,287367.0
104,28394.0,58.63280046754676,70.71294806563989,72.73278213237991,287665.0
105,30284.0,58.6132414283095,70.70199280344701,72.70998235240191,287985.0
106,29022.0,58.63935414374771,70.70301957279061,72.7305532636597,288177.0
107,30480.0,58.614887009534286,70.70802278144481,72.72098001466813,277243.0
108,29860.0,58.61383961312798,70.70119866153281,72.70846397139714,278674.0
109,29663.0,58.597833012467916,70.70130294279429,72.69708814631463,277415.0
110,29034.0,58.580765264026404,70.6761574074074,72.68824372020535,265970.0
111,28757.0,58.57689425192519,70.67611042354235,72.68506486065273,266634.0
112,28043.0,58.578518060139345,70.67599582874954,72.68619018151816,263595.0
113,27283.0,58.516342363403005,70.6686193619362,72.6754767143381,264177.0
114,26765.0,58.52122639347268,70.66656696919692,72.68081110194353,262119.0
115,27127.0,58.51441831683168,70.67649202420242,72.69239205170517,262486.0
116,25061.0,58.52700426292629,70.67432962046205,72.69929065823248,260596.0
117,26327.0,58.530963513017966,70.68977241474147,72.7175479006234,261858.0
118,24790.0,58.534181334800145,70.69022621012101,72.7169978456179,260400.0
119,25917.0,58.52295792079208,70.67638086725339,72.68734529702971,261020.0
120,25762.0,58.53283599193253,70.67391364136414,72.69670998349835,261217.0
121,21488.0,58.562234140080676,70.6874954162083,72.7113265493216,261846.0
122,21312.0,58.565088696369635,70.68822423909057,72.71279565456545,262123.0
123,218860.0,58.57284218005134,70.71846122112211,72.73518633113311,262837.0
124,208066.0,58.581557114044735,70.71655894756142,72.74212733773378,263597.0
125,218574.0,58.61422808947562,70.74440892005867,72.77661807847451,264115.0
126,219463.0,58.620576640997434,70.74752933626696,72.77961129446278,263753.0
127,220121.0,58.63620966263293,70.77403625779245,72.80354212504584,265819.0
128,217532.0,58.63651448478181,70.7740671983865,72.80444054822149,264553.0
129,210617.0,58.74532224055739,70.83658667950128,72.87028900806747,266090.0
130,201748.0,58.74420264943161,70.83617643014301,72.87056747341401,264963.0
131,194326.0,58.82568069306931,70.85299321598826,72.88005363036304,265118.0
132,184913.0,58.82912197469747,70.85355816831684,72.88090621562156,269392.0
133,45074.0,58.86000068756876,70.69535891089109,72.72739273927392,269568.0
134,37404.0,58.88180463879721,70.64413962229557,72.67967202970297,72020.0
135,61081.0,58.910294050238356,70.65838375504217,72.6914890447378,82814.0
136,52587.0,58.917094105243855,70.63360148514852,72.67943481848185,72306.0
137,98909.0,43.86854258342501,65.19561331133113,68.65906101026769,71417.0
138,109743.0,43.82929386688669,65.13033782544922,68.62861088192153,70759.0
139,120050.0,43.958009030069675,65.11790429042904,68.55163641364136,73348.0
140,107197.0,44.22923198569857,65.17098803630363,68.52387811697837,80263.0
141,100072.0,44.37195521635497,65.08206018518518,68.50527021452145,89132.0
142,99711.0,44.313241428309496,65.0525302530253,68.45967294646131,96554.0
143,100656.0,44.204387834616796,64.70846970113678,68.3771635496883,105967.0
144,98921.0,44.18890722405574,64.6437740649065,68.34825586725339,245806.0
145,90598.0,45.00333585441877,64.65088925559223,68.35720457462413,253476.0
146,90948.0,45.0260347909791,64.66825380454712,68.37188645947928,229799.0
147,85342.0,45.526341905023834,64.70868972313897,68.50027388155482,238293.0
