frame,255,R,G,B,0
0,290880.0,19.532055601393473,24.489531765676567,22.38252314814815,0.0
1,107110.0,22.050823936560324,26.792628116978364,24.457476164283094,183770.0
2,97767.0,24.80380913091309,29.267155986431977,26.65023262742941,193113.0
3,92610.0,27.48954322515585,31.64258113311331,28.826428997066373,198270.0
4,87318.0,29.758264576457645,33.70801934360102,30.646405161349467,203562.0
5,82640.0,31.602650577557757,35.35542720938761,32.113634488448845,208240.0
6,74588.0,32.76960716905024,36.4190353410341,33.00219449028236,216292.0
7,74913.0,33.42386207370737,37.16450197103044,33.73994545287862,215967.0
8,68996.0,33.218636551155114,37.27222451411808,33.834089658965894,221884.0
9,70657.0,33.32018243491016,37.396273377337735,33.96339269343601,220223.0
10,76858.0,33.564202878621195,37.687428951228455,34.15071621745508,214022.0
11,83858.0,33.80967409240924,37.96222955628896,34.39241611661166,207022.0
12,82343.0,34.060697423909055,38.3030230106344,34.63766387055372,208537.0
13,86624.0,34.33840415291529,38.66680532636597,34.891533736707004,204256.0
14,82535.0,34.57749702053539,38.98068046387972,35.16732329482948,208345.0
15,87497.0,34.56753300330033,39.23100591309131,35.35019824899157,203383.0
16,102746.0,34.41614296846351,39.28061972863953,35.384042675100844,188134.0
17,103652.0,34.39927805280528,39.34458081224789,35.50938760542721,187228.0
18,104407.0,34.60098895306197,39.67199074074074,35.771212642097545,186473.0
19,104494.0,34.72636826182618,39.883760771910524,35.939416024935824,186386.0
20,108577.0,34.850733406674,40.131913503850384,36.22115878254492,182303.0
21,113781.0,35.14596282544921,40.540883984231755,36.65196071690502,177099.0
22,113388.0,35.505961221122114,40.94439975247525,37.17344609460946,177492.0
23,108690.0,35.9862532086542,41.2887467913458,37.456511276127614,182190.0
24,105002.0,36.763339979831315,41.689466446644666,37.74169989915658,185878.0
25,99896.0,38.19470915841584,42.47710739823982,38.17335785661899,190984.0
26,95957.0,39.35207874954162,43.24891249541621,38.74946025852585,194923.0
27,94898.0,40.41813233406674,43.99964590209021,39.258450220022,195982.0
28,96519.0,40.790947011367805,43.934714200586725,38.973022093876054,194361.0
29,96635.0,42.18393037220389,44.28829872570591,39.093312247891454,194245.0
30,95323.0,43.408455949761645,45.11870989182252,39.75547419325266,195557.0
31,95226.0,44.85640355702237,46.536916712504585,40.717927209387604,195654.0
32,94230.0,46.379095617895125,48.35038045471214,42.09014713971397,196650.0
33,93351.0,47.60958127062706,49.69617711771177,42.826458791712504,197529.0
34,134454.0,49.415571140447376,50.52658599193253,42.93780711404474,156426.0
35,160709.0,51.25340346534654,51.68412174550789,43.37499656215621,130171.0
36,173366.0,53.1006233956729,53.4496413182985,43.91782865786578,117514.0
37,182831.0,55.216801888522184,55.069137330399705,44.91614067656766,108049.0
38,172517.0,56.39234506784012,55.35879973414008,44.808759625962594,118363.0
39,155916.0,57.30639209754309,55.62443275577558,44.39154863403007,134964.0
40,148531.0,58.823795608727536,56.74649339933993,44.18743353502017,142349.0
41,130896.0,58.988531353135315,57.34437110377704,44.054958516685005,159984.0
42,132314.0,60.7426051980198,58.205089154748805,44.04450976347635,158566.0
43,144528.0,62.48306518151815,58.96489273927393,43.654477218555186,146352.0
44,216477.0,64.68752406490648,60.094819169416944,43.357244682801614,74403.0
45,242172.0,66.69584593876054,60.89431380638064,42.24426911441144,48708.0
46,242741.0,67.05431563989733,61.170451732673264,43.00520947928126,48139.0
47,246424.0,67.07210991932527,60.913906078107814,42.64667216721672,44456.0
48,246975.0,67.83326572240557,61.64338215071507,42.54420379537954,43905.0
49,244044.0,68.84211587825449,61.626717775944265,43.23348001466813,46836.0
50,238558.0,69.76479189585625,61.70728593692703,41.338201320132015,52322.0
51,231787.0,69.57827741107444,60.94920700403374,39.5090163182985,59093.0
52,223121.0,69.84849766226623,60.76151906857353,38.22577122295563,67759.0
53,216472.0,70.52695384121745,60.645928447011364,36.541998991565826,74408.0
54,212734.0,70.76231894022736,59.66576022185552,33.56006142280895,78146.0
55,210522.0,71.5290417583425,59.584926200953426,32.11613150898423,80358.0
56,207101.0,71.91805670150349,59.49046227539421,31.354101347634764,83779.0
57,202276.0,71.89274844151082,58.99954849651632,30.420833333333334,88604.0
58,194851.0,71.88245324532453,58.467091813348,29.228323248991565,96029.0
59,189333.0,72.01079482948295,58.51399889988999,29.021919691969195,101547.0
60,187682.0,72.20179455445545,58.816686147781446,29.246524339933995,103198.0
61,190070.0,72.27871401723506,59.026017601760174,29.299870507884123,100810.0
62,193810.0,72.20942312981298,58.95292789695636,29.747442244224423,97070.0
63,196964.0,72.48959708470846,59.4312866703337,31.24414649798313,93916.0
64,198108.0,72.53912610011001,59.654049779977996,32.23696484231756,92772.0
65,201359.0,72.41511734506784,59.61439768976898,33.5049951870187,89521.0
66,201047.0,72.09138132563257,59.01832829116245,32.6000733406674,89833.0
67,207866.0,71.63739228089476,58.710381142280895,32.37548244407774,83014.0
68,224252.0,70.67707416574991,57.60458035386872,31.24061354052072,66628.0
