frame,255,R,G,B,0
0,290880.0,0.004238861386138614,0.009498762376237624,0.03645145764576457,0.0
1,290880.0,0.0004091034103410341,0.0055968096809680965,0.000966034103410341,290880.0
2,290880.0,0.0004056655665566557,0.0,0.000966034103410341,290880.0
3,290880.0,0.0,0.0,0.0,290880.0
4,18968.0,0.0,0.0,0.0,290880.0
5,16623.0,0.0,0.0,0.0,290880.0
6,21026.0,0.0,0.0,0.0,290880.0
7,20846.0,0.0,0.0,0.0,290880.0
8,8198.0,0.0,0.0,0.0,290880.0
9,8115.0,0.0,0.0,0.0,290880.0
10,13116.0,0.0,0.0,0.0,290880.0
11,16960.0,0.0,0.0,0.0,290880.0
12,18050.0,0.0,0.0,0.0,290880.0
13,16585.0,0.0,0.0,0.0,290880.0
14,16008.0,0.0,0.0,0.0,290880.0
15,9933.0,193.7880947469747,185.51086014851487,206.82259007150716,271912.0
16,10306.0,193.82954826732674,185.51579689218923,206.86308787128712,274257.0
17,7513.0,193.8088455720572,185.50878369086908,206.84139851485148,269854.0
18,4467.0,193.606999449945,185.49713283828382,206.71745737073707,270034.0
19,4144.0,193.598676430143,185.49620805830583,206.71345915841584,282682.0
20,4374.0,193.7504366061606,185.51166460396038,206.80978754125414,282765.0
21,4594.0,193.64793729372937,185.51991886688668,206.71391639163917,277764.0
22,4312.0,193.67695269526953,185.52203314081407,206.7345262651265,273920.0
23,3850.0,193.5393736248625,185.50641845434544,206.682525440044,272830.0
24,4198.0,193.60841240374037,185.49942244224422,206.7735457920792,274295.0
25,4206.0,193.49371218371837,185.49866611661167,206.65595434543454,274872.0
26,4393.0,193.50059818481847,185.485475110011,206.67978547854784,280947.0
27,4192.0,193.47318138063807,185.4912575632563,206.6503059680968,280574.0
28,3811.0,193.44294898239824,185.488424779978,206.63119499449945,283367.0
29,3533.0,193.41115236523652,185.491948569857,206.60589933993398,286413.0
30,3635.0,193.49568206820683,185.47424367436744,206.64239892739275,286736.0
31,3296.0,193.4587149339934,185.47463558855887,206.61583814631464,286506.0
32,3171.0,193.50982879537955,185.5209467821782,206.65245118261825,286286.0
33,3284.0,193.4398308580858,185.5129847359736,206.5930452420242,286568.0
34,2975.0,193.50146452145214,185.48724903740373,206.6700495049505,287030.0
35,2908.0,193.63410341034103,185.49318963146314,206.77168248074807,286682.0
36,3265.0,193.58494224422444,185.50109667216722,206.7298645489549,286674.0
37,276207.0,193.60137513751374,185.50284997249724,206.74512169966997,286487.0
38,275798.0,193.51156146864687,185.52010794829482,206.67721053355336,286688.0
39,276007.0,193.4812946919692,185.5246252750275,206.66860561056106,287069.0
40,275898.0,193.50896589658967,185.5290050880088,206.68509007150715,287347.0
41,275955.0,193.5045345159516,185.52756463146315,206.67726210121012,287245.0
42,275368.0,193.41831683168317,185.49820200770077,206.69043935643563,287584.0
43,272654.0,193.39684062156215,185.50017189218923,206.66720297029704,287709.0
44,270106.0,193.42531971947196,185.48255294279429,206.6710842959296,287596.0
45,259207.0,193.47151058855886,185.50313187568756,206.65737761276128,287905.0
46,254927.0,193.47706270627063,185.50012376237623,206.66611661166115,287972.0
