frame,255,R,G,B,0
0,290880.0,0.001412953795379538,0.0031662541254125413,0.012150485881921526,0.0
1,290880.0,0.00013636780344701137,0.0018656032269893656,0.000322011367803447,290880.0
2,290880.0,0.0001352218555188852,0.0,0.000322011367803447,290880.0
3,290880.0,0.0,0.0,0.0,290880.0
4,18968.0,0.0,0.0,0.0,290880.0
5,16623.0,0.0,0.0,0.0,290880.0
6,21026.0,0.0,0.0,0.0,290880.0
7,20846.0,0.0,0.0,0.0,290880.0
8,8198.0,0.0,0.0,0.0,290880.0
9,8115.0,0.0,0.0,0.0,290880.0
10,13116.0,0.0,0.0,0.0,290880.0
11,16960.0,0.0,0.0,0.0,290880.0
12,18050.0,0.0,0.0,0.0,290880.0
13,16585.0,0.0,0.0,0.0,290880.0
14,16008.0,0.0,0.0,0.0,290880.0
15,9933.0,64.5960315823249,61.83695338283828,68.94086335716905,271912.0
16,10306.0,64.60984942244224,61.838598964063074,68.95436262376238,274257.0
17,7513.0,64.60294852401907,61.83626123028969,68.94713283828384,269854.0
18,4467.0,64.535666483315,61.83237761276128,68.90581912357902,270034.0
19,4144.0,64.532892143381,61.83206935276861,68.90448638613861,282682.0
20,4374.0,64.5834788687202,61.837221534653466,68.9365958470847,282765.0
21,4594.0,64.54931243124312,61.839972955628895,68.90463879721305,277764.0
22,4312.0,64.55898423175651,61.84067771360469,68.91150875504218,273920.0
23,3850.0,64.51312454162083,61.83547281811514,68.89417514668133,272830.0
24,4198.0,64.53613746791346,61.83314081408141,68.9245152640264,274295.0
25,4206.0,64.49790406123945,61.83288870553722,68.88531811514484,274872.0
26,4393.0,64.5001993949395,61.828491703337,68.89326182618262,280947.0
27,4192.0,64.4910604602127,61.830419187752106,68.88343532269894,280574.0
28,3811.0,64.48098299413275,61.82947492665933,68.87706499816649,283367.0
29,3533.0,64.47038412174551,61.830649523285665,68.86863311331133,286413.0
30,3635.0,64.49856068940227,61.824747891455814,68.88079964246424,286736.0
31,3296.0,64.48623831133114,61.824878529519616,68.87194604877155,286506.0
32,3171.0,64.50327626512652,61.840315594059405,68.88415039420609,286286.0
33,3284.0,64.47994361936193,61.837661578657865,68.86434841400806,286568.0
34,2975.0,64.50048817381739,61.82908301246791,68.89001650165017,287030.0
35,2908.0,64.54470113678035,61.83106321048771,68.92389416024936,286682.0
36,3265.0,64.52831408140814,61.8336988907224,68.90995484965163,286674.0
37,276207.0,64.53379171250458,61.83428332416575,68.91504056655666,286487.0
38,275798.0,64.50385382288229,61.840035982764945,68.89240351118445,286688.0
39,276007.0,64.49376489732306,61.8415417583425,68.88953520352035,287069.0
40,275898.0,64.50298863219655,61.843001696002936,68.89503002383572,287347.0
41,275955.0,64.5015115053172,61.84252154382105,68.89242070040338,287245.0
42,275368.0,64.47277227722772,61.83273400256692,68.89681311881188,287584.0
43,272654.0,64.46561354052072,61.83339063072974,68.88906765676568,287709.0
44,270106.0,64.47510657315732,61.82751764759809,68.89036143197653,287596.0
45,259207.0,64.49050352951961,61.834377291895855,68.8857925375871,287905.0
46,254927.0,64.49235423542355,61.83337458745875,68.88870553722039,287972.0
47,249028.0,64.48450792995966,61.83091538320499,68.87533690869087,287615.0
48,243263.0,64.48537885038503,61.83065181518152,68.8760714613128,14673.0
49,51150.0,64.48442656765677,61.83083287495416,68.87603135313532,15082.0
50,51694.0,64.46838902640265,61.823370462046206,68.87764140997433,14873.0
51,51153.0,61.547588925559225,73.94771497983132,73.93594036486982,14982.0
52,58968.0,61.55373120645398,73.94855610561056,73.93925673817381,14925.0
53,64371.0,61.57082416574991,73.94958631279795,73.9512101210121,15512.0
54,75122.0,61.5706488357169,73.94774362852952,73.94994614044738,18226.0
55,82244.0,61.50441304547121,73.90759419691969,73.90191144114411,20774.0
56,89402.0,61.474525577557756,73.8963742207554,73.87226118445177,31673.0
57,90352.0,61.42999633296663,73.8828474514118,73.8678905390539,35953.0
58,95344.0,61.42371883021635,73.88167973047305,73.86406307297396,41852.0
59,95189.0,61.265241107444076,73.7262101210121,73.70813966813348,47617.0
60,94100.0,61.251879354602124,73.725574119912,73.70133732123212,239730.0
61,94335.0,61.25189539787312,73.72577695269527,73.69894801980197,239186.0
62,93057.0,61.40327282728273,73.85327282728272,73.87228524935827,239727.0
63,93692.0,60.898299413274664,73.38530550971764,73.48428676200953,231912.0
64,91521.0,60.56751008434177,72.96646956362302,73.06355656398974,226509.0
65,90079.0,60.22746607994133,72.54432641180784,72.62953795379538,215758.0
66,89113.0,59.054473780711405,71.31645008250825,71.35748533186651,208636.0
67,87313.0,58.4693653740374,70.55920081591492,70.5439700220022,201478.0
68,85444.0,57.950491611661164,70.22835075174184,70.3715529886322,200528.0
69,84916.0,57.314748349834986,69.86605129262927,70.24375687568757,195536.0
70,82704.0,56.85373579024569,69.63375848001466,70.35413458012468,195691.0
71,82417.0,56.763194444444444,69.62367413824715,70.45224262009535,196780.0
72,80682.0,56.843433718371834,69.98476806013934,70.87437545837918,196545.0
73,77558.0,56.196360469380274,69.55376329299597,70.40135336450312,197823.0
74,74667.0,56.198419737807114,69.55402686101944,70.40287289145581,197188.0
75,67581.0,56.00300238357169,69.32564746057939,70.15686881188118,199359.0
76,69047.0,56.00631073524019,69.32497249724973,70.16025050421709,200801.0
77,68481.0,56.279333975064176,69.54336839933994,70.336925880088,201767.0
78,67401.0,56.27997112211221,69.54384511367803,70.33645604143747,203567.0
79,66942.0,56.40060849834983,69.6968463513018,70.44575426292629,205436.0
80,193067.0,56.40300811331133,69.69543225155849,70.44871424642464,205964.0
81,191490.0,56.46745393289329,69.76402067290063,70.51231779427943,208176.0
82,191270.0,56.60126168866887,69.87553630363037,70.60878483681701,208463.0
83,191148.0,56.49250550055005,69.70538939310597,70.48817152548588,210198.0
84,190813.0,56.493123166483315,69.70544554455445,70.48842248808214,213322.0
85,190479.0,56.454015401540154,69.56537059955996,70.350717363403,216213.0
86,190205.0,56.446487669600295,69.56376856435644,70.34794760726072,223299.0
87,189993.0,56.360514072240555,69.32578497433077,70.20492299229923,221833.0
88,189365.0,56.35919394022736,69.325717363403,70.2041437477081,222399.0
89,183999.0,56.359852860286026,69.32594426109277,70.20437866703337,223479.0
90,182272.0,56.409617940960764,69.24401815181518,70.09213765126513,223938.0
91,175661.0,56.63475889255592,69.44477562339567,70.28088100476714,97813.0
92,165953.0,56.63446209204254,69.4444341309131,70.28082485331866,99390.0
93,158650.0,56.63510153098643,69.44104212504584,70.28021177117712,99610.0
94,153264.0,58.663624174917494,70.72171685918592,72.75771566740008,99732.0
95,142736.0,58.68657407407407,70.72223253575358,72.76710212687935,100067.0
96,144666.0,58.678788503850384,70.71968623945727,72.76072492665934,100401.0
97,139500.0,58.64979831316465,70.71502910707737,72.7631520443711,100675.0
98,131729.0,58.57414512284562,70.71119476530987,72.74785020168683,100887.0
99,134066.0,58.59354372937294,70.71231894022736,72.76841882104877,101515.0
100,128591.0,58.61564333516685,70.71166231206453,72.74263040887422,106881.0
101,121262.0,58.64179157499083,70.7095789787312,72.74208608360836,108608.0
102,32725.0,58.61968967730106,70.70516364136414,72.71258021635497,115219.0
103,32695.0,58.646822286395306,70.70806632746608,72.73653052805281,124927.0
104,32109.0,58.63280046754676,70.71294806563989,72.73278213237991,132230.0
105,33932.0,58.6132414283095,70.70199280344701,72.70998235240191,137616.0
106,33303.0,58.63935414374771,70.70301957279061,72.7305532636597,148144.0
107,34619.0,58.614887009534286,70.70802278144481,72.72098001466813,146214.0
108,34085.0,58.61383961312798,70.70119866153281,72.70846397139714,151380.0
109,35295.0,58.597833012467916,70.70130294279429,72.69708814631463,159151.0
110,34814.0,58.580765264026404,70.6761574074074,72.68824372020535,156814.0
111,35889.0,58.57689425192519,70.67611042354235,72.68506486065273,162289.0
112,35278.0,58.578518060139345,70.67599582874954,72.68619018151816,169618.0
113,35722.0,58.516342363403005,70.6686193619362,72.6754767143381,258155.0
114,35147.0,58.52122639347268,70.66656696919692,72.68081110194353,258185.0
115,36135.0,58.51441831683168,70.67649202420242,72.69239205170517,258771.0
116,35312.0,58.52700426292629,70.67432962046205,72.69929065823248,256948.0
117,36580.0,58.530963513017966,70.68977241474147,72.7175479006234,257577.0
118,35777.0,58.534181334800145,70.69022621012101,72.7169978456179,256261.0
119,38091.0,58.52295792079208,70.67638086725339,72.68734529702971,256795.0
120,37938.0,58.53283599193253,70.67391364136414,72.69670998349835,255585.0
121,37950.0,58.562234140080676,70.6874954162083,72.7113265493216,256066.0
122,37262.0,58.565088696369635,70.68822423909057,72.71279565456545,254991.0
123,220509.0,58.57284218005134,70.71846122112211,72.73518633113311,255602.0
124,219220.0,58.581557114044735,70.71655894756142,72.74212733773378,255158.0
125,220244.0,58.61422808947562,70.74440892005867,72.77661807847451,255733.0
126,221200.0,58.620576640997434,70.74752933626696,72.77961129446278,254745.0
127,222058.0,58.63620966263293,70.77403625779245,72.80354212504584,255568.0
128,221898.0,58.63651448478181,70.7740671983865,72.80444054822149,254300.0
129,221499.0,58.74532224055739,70.83658667950128,72.87028900806747,255103.0
130,221617.0,58.74420264943161,70.83617643014301,72.87056747341401,252789.0
131,221319.0,58.82568069306931,70.85299321598826,72.88005363036304,252942.0
132,221176.0,58.82912197469747,70.85355816831684,72.88090621562156,252930.0
133,221537.0,58.86000068756876,70.69535891089109,72.72739273927392,253618.0
134,221430.0,58.88180463879721,70.64413962229557,72.67967202970297,70371.0
135,221118.0,58.910294050238356,70.65838375504217,72.6914890447378,71660.0
136,220862.0,58.917094105243855,70.63360148514852,72.67943481848185,70636.0
137,221327.0,43.86854258342501,65.19561331133113,68.65906101026769,69680.0
138,225341.0,43.82929386688669,65.13033782544922,68.62861088192153,68822.0
139,229103.0,43.958009030069675,65.11790429042904,68.55163641364136,68982.0
140,226947.0,44.22923198569857,65.17098803630363,68.52387811697837,69381.0
141,227290.0,44.37195521635497,65.08206018518518,68.50527021452145,69263.0
142,225847.0,44.313241428309496,65.0525302530253,68.45967294646131,69561.0
143,224413.0,44.204387834616796,64.70846970113678,68.3771635496883,69704.0
144,231446.0,44.18890722405574,64.6437740649065,68.34825586725339,69343.0
145,227511.0,45.00333585441877,64.65088925559223,68.35720457462413,69450.0
146,225203.0,45.0260347909791,64.66825380454712,68.37188645947928,69762.0
147,223209.0,45.526341905023834,64.70868972313897,68.50027388155482,70018.0
