frame,distances
0,0.0
1,3894.0
2,75.0
3,234.0
4,157.0
5,187.0
6,145.0
7,4110.0
8,4398.0
9,148.0
10,76.0
11,106.0
12,91.0
13,147.0
14,151.0
15,55.0
16,29.0
17,34.0
18,26.0
19,96.0
20,186.0
21,12.0
22,68.0
23,43.0
24,73.0
25,49.0
26,344.0
27,136.0
28,116.0
29,178.0
30,14.0
31,4524.0
32,4688.0
33,1.0
34,24.0
35,160.0
36,123.0
37,172.0
38,716.0
39,72.0
40,244.0
41,63.0
42,126.0
43,176.0
44,29.0
45,65.0
46,1822.0
47,404.0
48,2167.0
49,455.0
50,1520.0
51,203.0
52,1668.0
53,4.0
54,2510.0
55,6301.0
56,5419.0
57,1771.0
58,441.0
59,3458.0
60,3801.0
61,164.0
62,466.0
63,88.0
64,79.0
65,329.0
66,169.0
67,231.0
68,166.0
69,115.0
70,83.0
71,107.0
72,53.0
73,76.0
74,114.0
75,103.0
76,137.0
77,145.0
78,118.0
79,4378.0
80,4196.0
81,40.0
82,553.0
83,131.0
84,307.0
85,27.0
86,17.0
87,33.0
88,414.0
89,2231.0
90,2267.0
91,275.0
92,255.0
93,207.0
94,648.0
95,206.0
96,844.0
97,338.0
98,1744.0
99,530.0
100,583.0
101,128.0
102,676.0
103,6745.0
104,5696.0
105,630.0
106,110.0
107,224.0
108,462.0
109,227.0
110,463.0
111,331.0
112,39.0
113,554.0
114,2391.0
115,12.0
116,898.0
117,355.0
118,343.0
119,1153.0
120,190.0
121,212.0
122,282.0
123,57.0
124,9.0
125,55.0
126,62.0
127,2062.0
128,2117.0
129,320.0
130,51.0
131,255.0
132,468.0
133,767.0
134,1098.0
135,53.0
136,247.0
137,385.0
138,68.0
139,4.0
140,170.0
141,258.0
142,243.0
143,585.0
144,142.0
145,419.0
146,407.0
147,1432.0
148,193.0
149,1587.0
150,3.0
151,9569.0
152,9816.0
153,822.0
154,68.0
155,823.0
156,225.0
157,1762.0
158,6528.0
159,1376.0
160,3466.0
161,5400.0
162,567.0
163,758.0
164,1754.0
165,1419.0
166,884.0
167,71.0
168,231.0
169,1374.0
170,49.0
171,341.0
172,189.0
173,268.0
174,235.0
175,3485.0
176,3355.0
177,352.0
178,613.0
179,113.0
180,492.0
181,154.0
182,218.0
183,266.0
184,160.0
185,716.0
186,351.0
187,1590.0
188,153.0
189,1497.0
190,458.0
191,1918.0
192,373.0
193,611.0
194,68.0
195,1173.0
196,1316.0
197,1379.0
198,933.0
199,5523.0
200,5873.0
201,773.0
202,394.0
203,205.0
204,189.0
205,284.0
206,131.0
207,477.0
208,72.0
209,580.0
210,304.0
211,205.0
212,59.0
213,275.0
214,225.0
215,670.0
216,595.0
217,19.0
218,253.0
219,106.0
220,110.0
221,26.0
222,4120.0
223,4107.0
224,160.0
225,321.0
226,133.0
227,159.0
228,140.0
229,140.0
230,110.0
231,352.0
232,28.0
233,46.0
234,413.0
235,992.0
236,565.0
237,1735.0
238,710.0
239,526.0
240,2674.0
241,876.0
242,158.0
243,347.0
244,258.0
245,40.0
246,5576.0
247,7082.0
248,842.0
249,685.0
250,2939.0
251,36.0
252,331.0
253,377.0
254,281.0
255,3462.0
256,2092.0
257,1209.0
258,136.0
259,82.0
260,209.0
261,77.0
262,323.0
263,35.0
264,105.0
265,257.0
266,262.0
267,222.0
268,374.0
269,506.0
270,4911.0
271,4994.0
272,249.0
273,36.0
274,266.0
275,423.0
276,885.0
277,69.0
278,1847.0
279,1592.0
280,409.0
281,2787.0
282,695.0
283,1596.0
284,1299.0
285,1185.0
286,114.0
287,140.0
288,58.0
289,60.0
290,551.0
291,5118.0
292,685.0
293,381.0
294,594.0
295,784.0
296,62.0
297,67.0
298,1076.0
299,579.0
300,357.0
301,446.0
302,572.0
303,136.0
304,180.0
305,278.0
306,143.0
307,332.0
308,52.0
309,115.0
310,11041.0
311,9914.0
312,1034.0
313,216.0
314,117.0
315,42.0
316,212.0
317,28.0
318,1424.0
319,1537.0
320,14.0
321,4.0
322,61.0
323,52.0
324,95.0
325,260.0
326,84.0
327,155.0
328,314.0
329,318.0
330,322.0
331,275.0
332,160.0
333,742.0
334,575.0
335,627.0
336,345.0
337,277.0
338,17025.0
339,15631.0
340,2130.0
341,2244.0
342,2225.0
343,96.0
344,2168.0
345,2265.0
346,1742.0
347,360.0
348,163.0
349,67.0
350,1483.0
351,231.0
352,864.0
353,131.0
354,384.0
355,112.0
356,283.0
357,129.0
358,280.0
359,174.0
360,1895.0
361,2341.0
362,153.0
363,407.0
364,350.0
365,72.0
366,2854.0
367,2444.0
368,14.0
369,515.0
370,361.0
371,464.0
372,48.0
373,701.0
374,129.0
375,271.0
376,59.0
377,202.0
378,269.0
379,307.0
380,51.0
381,1688.0
382,238.0
383,2087.0
384,765.0
385,1365.0
386,974.0
387,1407.0
388,2451.0
389,11946.0
390,13674.0
391,4754.0
392,70.0
393,80.0
394,68.0
395,40.0
396,158.0
397,194.0
398,169.0
399,69.0
400,89.0
401,29.0
402,34.0
403,75.0
404,42.0
405,4.0
406,48.0
407,186.0
408,34.0
409,126.0
410,57.0
411,4.0
412,48.0
413,153.0
414,3552.0
415,3470.0
416,145.0
417,134.0
418,71.0
419,15.0
420,657.0
421,625.0
422,169.0
423,14.0
424,39.0
425,89.0
426,106.0
427,62.0
428,10.0
429,147.0
430,223.0
