frame,distances
0,0.0
1,18922.0
2,796.0
3,927.0
4,23.0
5,831.0
6,187.0
7,18568.0
8,19535.0
9,416.0
10,676.0
11,390.0
12,1208.0
13,11.0
14,924.0
15,64.0
16,677.0
17,351.0
18,61.0
19,376.0
20,916.0
21,415.0
22,240.0
23,427.0
24,174.0
25,137.0
26,139.0
27,196.0
28,278.0
29,11.0
30,122.0
31,18100.0
32,18253.0
33,122.0
34,425.0
35,74.0
36,156.0
37,615.0
38,111.0
39,188.0
40,161.0
41,5607.0
42,5763.0
43,1004.0
44,2040.0
45,842.0
46,305.0
47,210.0
48,579.0
49,707.0
50,3236.0
51,1701.0
52,58.0
53,3220.0
54,1021.0
55,15110.0
56,16071.0
57,1647.0
58,1431.0
59,315.0
60,1120.0
61,3504.0
62,1177.0
63,2767.0
64,2494.0
65,709.0
66,412.0
67,1440.0
68,1831.0
69,51.0
70,1120.0
71,48.0
72,281.0
73,190.0
74,166.0
75,6.0
76,765.0
77,444.0
78,319.0
79,18375.0
80,17846.0
81,232.0
82,426.0
83,6716.0
84,302.0
85,7442.0
86,2909.0
87,5641.0
88,3041.0
89,7145.0
90,10016.0
91,1394.0
92,8305.0
93,12963.0
94,3301.0
95,3576.0
96,215.0
97,720.0
98,6428.0
99,9431.0
100,15413.0
101,1230.0
102,758.0
103,16968.0
104,19121.0
105,3143.0
106,57.0
107,314.0
108,2218.0
109,35.0
110,784.0
111,3513.0
112,7975.0
113,220.0
114,2332.0
115,3226.0
116,1355.0
117,886.0
118,6.0
119,620.0
120,593.0
121,451.0
122,732.0
123,93.0
124,888.0
125,50.0
126,248.0
127,118.0
128,522.0
129,460.0
130,540.0
131,83.0
132,584.0
133,458.0
134,1403.0
135,622.0
136,778.0
137,111.0
138,21.0
139,633.0
140,368.0
141,782.0
142,118.0
143,145.0
144,276.0
145,722.0
146,72.0
147,2301.0
148,241.0
149,448.0
150,1176.0
151,26494.0
152,25802.0
153,510.0
154,1854.0
155,742.0
156,1205.0
157,3346.0
158,4842.0
159,1744.0
160,606.0
161,6682.0
162,1109.0
163,1501.0
164,3016.0
165,4233.0
166,2514.0
167,222.0
168,1446.0
169,4512.0
170,758.0
171,190.0
172,358.0
173,1999.0
174,375.0
175,15219.0
176,15281.0
177,917.0
178,3350.0
179,635.0
180,53.0
181,1015.0
182,695.0
183,903.0
184,269.0
185,946.0
186,1155.0
187,4503.0
188,2111.0
189,1893.0
190,208.0
191,4407.0
192,1300.0
193,365.0
194,1855.0
195,2569.0
196,5727.0
197,4850.0
198,4184.0
