frame,distances
0,27556.0
1,28803.0
2,28909.0
3,30656.0
4,30542.0
5,32310.0
6,30323.0
7,30967.0
8,30513.0
9,31471.0
10,30955.0
11,31254.0
12,31746.0
13,31219.0
14,31660.0
15,32118.0
16,31555.0
17,31499.0
18,31846.0
19,32134.0
20,32125.0
21,32276.0
22,32045.0
23,30913.0
24,30557.0
25,30802.0
26,30970.0
27,30846.0
28,30364.0
29,30665.0
30,31280.0
31,27740.0
32,34752.0
33,25992.0
34,30426.0
35,33734.0
36,25295.0
37,33913.0
38,32446.0
39,33027.0
40,35196.0
41,32542.0
42,32488.0
43,32281.0
44,32206.0
45,26189.0
46,27429.0
47,32353.0
48,34569.0
49,27561.0
50,28723.0
51,29474.0
52,29844.0
53,30036.0
54,30325.0
55,30265.0
56,30609.0
57,30536.0
58,29550.0
59,28678.0
60,29032.0
61,28413.0
62,27751.0
63,27598.0
64,38748.0
65,33296.0
66,29668.0
67,41271.0
68,31570.0
69,37840.0
70,34080.0
71,31491.0
72,32381.0
73,44298.0
74,22192.0
75,27242.0
76,31782.0
77,24483.0
78,25534.0
79,25391.0
80,27506.0
81,32203.0
82,36117.0
83,27890.0
84,27917.0
85,29612.0
86,30635.0
87,31962.0
88,26480.0
89,26773.0
90,27510.0
91,35775.0
92,27929.0
93,25938.0
94,32618.0
95,28344.0
96,31136.0
97,31448.0
98,33910.0
99,36226.0
100,31808.0
101,32768.0
102,32591.0
103,33000.0
104,31838.0
105,32603.0
106,31980.0
107,33121.0
108,31627.0
109,32144.0
110,33220.0
111,33861.0
112,34651.0
113,34550.0
114,34731.0
115,34756.0
116,34651.0
117,34831.0
118,34459.0
119,34249.0
120,33539.0
121,35226.0
122,33859.0
123,34688.0
124,34192.0
125,33967.0
126,34034.0
127,34056.0
128,33700.0
129,35314.0
130,34787.0
131,34397.0
132,33666.0
133,34140.0
134,34478.0
135,32183.0
136,30503.0
137,32817.0
138,32967.0
139,32119.0
140,29918.0
141,28445.0
142,27199.0
143,25998.0
144,27989.0
145,30730.0
146,28588.0
147,35307.0
148,24647.0
149,22690.0
150,23626.0
151,21997.0
152,45126.0
153,19632.0
154,22438.0
155,22531.0
156,21770.0
157,48101.0
158,23282.0
159,25027.0
160,25226.0
161,25851.0
162,25436.0
163,26670.0
164,26613.0
165,25598.0
166,27176.0
167,26989.0
168,26097.0
169,25440.0
170,23780.0
171,22992.0
172,23011.0
173,23322.0
174,25580.0
175,26327.0
176,24473.0
177,24096.0
178,25196.0
179,26686.0
180,28629.0
181,29205.0
182,29453.0
183,29350.0
184,29254.0
185,31353.0
186,31903.0
187,32313.0
188,31983.0
189,33944.0
190,33986.0
191,37574.0
192,39737.0
193,41595.0
194,40765.0
195,41963.0
196,40928.0
197,32571.0
198,33909.0
199,32094.0
200,33808.0
201,32100.0
202,34498.0
203,32299.0
204,30855.0
205,31458.0
206,31157.0
207,31285.0
208,31535.0
209,30508.0
210,29463.0
211,30693.0
212,29320.0
213,36964.0
214,37063.0
215,35296.0
216,35967.0
217,31353.0
218,30433.0
219,30932.0
220,29421.0
221,27806.0
222,29539.0
223,29482.0
224,27347.0
225,28350.0
226,36917.0
227,28183.0
228,33213.0
229,31821.0
230,31060.0
231,31201.0
232,25372.0
233,25121.0
234,26048.0
235,24144.0
236,25922.0
237,24647.0
238,25764.0
239,24536.0
240,24394.0
241,25874.0
242,25664.0
243,25873.0
244,26432.0
245,27185.0
246,26711.0
247,26349.0
248,28688.0
249,28141.0
250,28372.0
251,28723.0
252,27309.0
253,24776.0
254,31103.0
255,29492.0
256,44704.0
257,43016.0
258,42112.0
259,40719.0
260,34580.0
261,34939.0
262,36002.0
263,35734.0
264,36407.0
265,37237.0
266,14851.0
267,19362.0
268,33639.0
269,14112.0
270,18051.0
271,17106.0
272,9469.0
273,22717.0
274,11674.0
275,21207.0
276,3799.0
277,13264.0
278,7211.0
279,9486.0
280,2445.0
281,3899.0
282,4189.0
283,35776.0
284,12622.0
285,11746.0
286,8289.0
287,11353.0
288,15034.0
289,13790.0
290,15222.0
291,15631.0
292,18272.0
293,22094.0
294,17506.0
295,18169.0
296,16561.0
297,18668.0
298,12530.0
299,15546.0
300,12184.0
301,12164.0
302,12392.0
303,11353.0
304,14952.0
305,12396.0
306,7862.0
307,12278.0
308,9436.0
309,11300.0
310,7264.0
311,38556.0
312,16046.0
313,6534.0
314,19812.0
315,5503.0
316,17302.0
317,10028.0
318,13761.0
319,15244.0
320,16307.0
321,14090.0
322,19129.0
323,20591.0
324,18082.0
325,18238.0
326,18793.0
327,17814.0
328,16932.0
329,17138.0
330,14831.0
331,15468.0
332,4761.0
333,16542.0
334,15216.0
335,16474.0
336,16103.0
337,16942.0
338,17051.0
339,17245.0
340,18828.0
341,16978.0
342,17548.0
343,16480.0
344,18013.0
345,16394.0
346,16017.0
347,15556.0
348,17283.0
349,16250.0
350,16728.0
351,16334.0
352,18389.0
353,19102.0
354,20956.0
355,21054.0
356,22394.0
357,19429.0
358,17519.0
359,12534.0
360,29970.0
361,30071.0
362,30724.0
363,29938.0
364,28903.0
365,29328.0
366,28865.0
367,28945.0
